Admin2;Province_State;Country_Region;Last_Update;Lat;Long_;Confirmed;Deaths;Recovered;Active;Combined_Key;Incidence_Rate;Case-Fatality_Ratio;ID
Bell;Kentucky;US;26/07/2020 04:35;36.73355174;-83.67766671;221;1;0;220;Bell, Kentucky, US;848.9551321;0.452488688;
Bell;Texas;US;26/07/2020 04:35;31.03736027;-97.4785025;2990;18;0;2972;Bell, Texas, US;823.8639495;0.602006689;
Belmont;Ohio;US;26/07/2020 04:35;40.01625942;-80.9924051;584;26;0;558;Belmont, Ohio, US;871.5637406;4.452054795;
Beltrami;Minnesota;US;26/07/2020 04:35;47.97373527;-94.93732139;146;0;0;146;Beltrami, Minnesota, US;309.4006951;0;
Ben Hill;Georgia;US;26/07/2020 04:35;31.76095874;-83.22145359;297;1;0;296;Ben Hill, Georgia, US;1778.443114;0.336700337;
Benewah;Idaho;US;26/07/2020 04:35;47.21754179;-116.6586851;39;0;0;39;Benewah, Idaho, US;419.4450419;0;
Bennett;South Dakota;US;26/07/2020 04:35;43.19486375;-101.6665572;5;0;0;5;Bennett, South Dakota, US;148.5884101;0;
Bennington;Vermont;US;26/07/2020 04:35;43.03519828;-73.09048868;81;1;0;80;Bennington, Vermont, US;228.3619961;1.234567901;
Benson;North Dakota;US;26/07/2020 04:35;48.0683985;-99.35916363;47;1;0;46;Benson, North Dakota, US;687.9391101;2.127659574;
Bent;Colorado;US;26/07/2020 04:35;37.95474293;-103.0720195;5;0;0;5;Bent, Colorado, US;89.65393581;0;
Benton;Arkansas;US;26/07/2020 04:35;36.33644656;-94.25680817;4156;31;0;4125;Benton, Arkansas, US;1488.853304;0.745909528;
Benton;Indiana;US;26/07/2020 04:35;40.60626947;-87.31093999;56;0;0;56;Benton, Indiana, US;640.1463192;0;
Benton;Iowa;US;26/07/2020 04:35;42.08011739;-92.06463573;110;1;0;109;Benton, Iowa, US;428.9335153;0.909090909;
Benton;Minnesota;US;26/07/2020 04:35;45.69804958;-93.99514135;283;3;0;280;Benton, Minnesota, US;692.1176845;1.060070671;
Benton;Mississippi;US;26/07/2020 04:35;34.81681228;-89.18945516;88;0;0;88;Benton, Mississippi, US;1065.504298;0;
